Username,Name,Gender,DOB,Occupation,Subscribed, Total Spend 
Neaudde1978,"  Mr 	Bailey Glover  ",male,01/12/1979,Support staff clerk,01/10/2015,"1,257.45"
Yaress39,"Mrs  	 Isabella   Fowler",female,04/08/1960,Sales worker supervisor,24/03/2016,771.99
Behonell," Mrs Chloe 	Kirby  ",female,28/06/1949,Employee benefits specialist,07/06/2016,"1,021.77"
Shimpay," Mrs Louise 	Clark  ",female,07/01/1995,Clinical social worker,03/11/2016,234.76
Siall1985,"Mr Harrison 	 Bowen",female,04/04/1987,Semiconductor processor,25/03/2016,628.07
Phey1965,"Mrs Georgina 	Banks",female,04/03/1967,Amusement and recreation attendant,20/05/2014,"1,294.51"
Shearompal,"Ms Ellie 	Hudson",male,10/05/1956,Construction millwright,08/06/2014,"2,181.81"
Chaptes77,"Mrs  	Caitlin Harris",male,04/06/1978,Microbiology technologist,12/09/2015,"1,142.29"
Lairieve1993,"Mr Zak 	Potter",female,11/06/1994,Engine and other machine assembler,18/09/2016,453.67
Riculd29,"  Mr 	Jordan Andrews  ",female,30/08/1950,Telecommunications specialist,30/08/2014,"1,107.94"
Aphis1966," Mrs Katie 	Reynolds  ",female,12/08/1967,Industrial maintenance worker,15/09/2014,"2,867.68"
Neave1959,"Mrs Anna 	     Sharp",female,02/02/1960,Television camera operator,18/09/2016,140.04
Nicterims1993,"  Mrs 	Daisy Anderson  ",male,05/07/1995,Automation and control technician,29/01/2015,"2,417.81"
Ambleverce,"Mr Declan 	Hancock",female,28/09/1966,Automated teller machine technician,11/03/2016,40.31
Awyear,"  Mr 	Spencer Vincent  ",female,11/06/1980,Medical translator,03/07/2015,643.68
Entioncesay,"Mr Evan 	    Dickinson",female,03/03/1971,Gaming machine repairer,06/06/2016,253.85
Onall1971," Ms Summer 	Vincent  ",female,11/06/1973,Industrial hygienist,16/06/2016,108.81
Thearthe,"Mrs Kate 	Birch",male,29/04/1958,Apartment leasing agent,27/07/2015,421.19
Fliptatheaus1934,"Mr Josh 	Porter",male,30/09/1955,ESL teacher,07/10/2016,551.68
Tractinglery,"Mr Gabriel 	Gough",female,05/01/1953,Chief engineer,10/01/2016,47.29
Cathad,"Mrs Abby 	O'Neill",female,27/04/1954,Typesetting machine tender,29/11/2016,404.6
